iter	TotalF1	MultiClass
484	0.9221297079	0.252315465
485	0.922650437	0.251967544
486	0.9226459979	0.2517132537
487	0.9226469875	0.2514917078
488	0.9236810748	0.2510252358
489	0.923890447	0.2507393953
490	0.9239951132	0.2505024465
491	0.9239987729	0.2500894249
492	0.9239987729	0.249947663
493	0.9241048477	0.2498408654
494	0.9242078619	0.2497244659
495	0.9250400526	0.249360348
496	0.9249371719	0.2491207595
497	0.9252488626	0.2489901168
498	0.925246906	0.2487218821
499	0.9253535083	0.2484759119
500	0.9253555513	0.2483749473
501	0.9251488616	0.2479826794
502	0.9253542696	0.2478767905
503	0.9253473896	0.2474555088
504	0.9257718374	0.2471309699
505	0.9255651897	0.2470033877
506	0.9260883936	0.2466610382
507	0.9264100351	0.2465256934
508	0.9264153483	0.2464222758
509	0.9266243465	0.2461155992
510	0.9266243465	0.2460152599
511	0.9268324651	0.2457800579
512	0.9269377091	0.2455825643
513	0.9275646727	0.2451867202
514	0.9275655238	0.2448545879
515	0.9276699556	0.244732542
516	0.9274563809	0.2446091341
517	0.9276652773	0.2443658918
518	0.9273449015	0.2440433237
519	0.9275498501	0.2437085375
520	0.9276525924	0.2435955981
521	0.9277618796	0.2432601596
522	0.9278671334	0.2431233711
523	0.9279686123	0.2428012789
524	0.9280762695	0.2426854549
525	0.9282863546	0.242439796
526	0.9288166407	0.242049052
527	0.9292282457	0.2417258068
528	0.9292309217	0.2415987272
529	0.9293382386	0.2414322338
530	0.9293375308	0.2411071254
531	0.9294436906	0.24104946
532	0.9297590832	0.2407836479
533	0.9299656463	0.2405620536
534	0.9299626022	0.2404608948
535	0.9300649112	0.2402711895
536	0.9299602054	0.2400475862
537	0.9303772253	0.2397613493
538	0.9304816471	0.2396520002
539	0.9302704201	0.2393718046
540	0.9302699091	0.2391609633
541	0.9308981408	0.2389408711
542	0.9308985829	0.2384736081
543	0.9312125595	0.2383662464
544	0.9312126052	0.2381302096
545	0.9315248081	0.2378511112
546	0.9316289008	0.2376452164
547	0.9311003596	0.2373614148
548	0.9315233513	0.2370189458
549	0.9312095488	0.2369057016
550	0.9312103397	0.2368555178
551	0.931522352	0.236618507
552	0.9318371827	0.2365431641
553	0.9316294612	0.2362827613
554	0.9318327755	0.2361005884
555	0.9317245505	0.2359802385
556	0.9316248711	0.2358296646
557	0.9316189031	0.2357604296
558	0.9320404129	0.2355012412
559	0.9321448973	0.235224795
560	0.9324606828	0.2350409849
561	0.9324613297	0.2347197664
562	0.9326727405	0.2345331399
563	0.9323572071	0.2342981413
564	0.9323529811	0.2342071195
565	0.933195202	0.2339613379
566	0.9335053539	0.2335415011
567	0.933820441	0.2332899371
568	0.9340315234	0.2330112452
569	0.9339268078	0.2329378338
570	0.9341351255	0.2326463277
571	0.9342370301	0.2324229631
572	0.9339207193	0.2320832553
573	0.9343372737	0.2318101857
574	0.9342340941	0.2316438116
575	0.9341295632	0.2315371636
576	0.9342365432	0.2314479655
577	0.9346526716	0.2312456454
578	0.9346514289	0.2311446948
579	0.935277801	0.2309310783
580	0.93507209	0.2308396815
581	0.9350673452	0.2306017907
582	0.9352777306	0.2303710687
583	0.9352727707	0.2302629317
584	0.9355949612	0.2300303645
585	0.9355949612	0.2299203814
586	0.9354866658	0.2298410951
587	0.9354866658	0.2297435039
588	0.9351692518	0.2294598125
589	0.9350643707	0.2293528939
590	0.9351682657	0.2292924734
591	0.9352748932	0.2290388696
592	0.9352748932	0.2289788801
593	0.9355855634	0.2287286025
594	0.9352737905	0.2285477982
595	0.9355842178	0.2283149025
596	0.9358949811	0.2279685911
597	0.9357887056	0.2278047149
598	0.9361029708	0.2276642401
599	0.9359975676	0.2274550381
600	0.936102038	0.2273329565
601	0.9364252142	0.22698278
602	0.9364252142	0.2268794574
603	0.9365272763	0.2266953817
604	0.9367334676	0.2265820068
605	0.9365272054	0.2264857968
606	0.936733213	0.2262409727
607	0.936733213	0.2261685641
608	0.9365239571	0.2260175236
609	0.9368337931	0.2256505455
610	0.9366256609	0.2253786765
611	0.9367306748	0.2252868344
612	0.9369426759	0.2249107342
613	0.9369426759	0.2248397278
614	0.9368371112	0.2245519886
615	0.9373607898	0.2241494546
616	0.9371532281	0.2239631608
617	0.9371548261	0.2237211785
618	0.9373612671	0.2235440239
619	0.9373585983	0.2232123508
620	0.9375698204	0.2230237597
621	0.9376755127	0.2228224692
622	0.9379873296	0.2227044556
623	0.9378826391	0.2226399272
624	0.9379964893	0.2224028089
625	0.9381058113	0.2222800904
626	0.938309515	0.2221524857
627	0.9383071787	0.2220462843
628	0.9383075087	0.2218484338
629	0.9383051112	0.2217735358
630	0.9383069586	0.22151862
631	0.9387246245	0.2212834255
632	0.9387271468	0.2210642047
633	0.9389345688	0.2209897869
634	0.9386240594	0.220870145
635	0.9385166775	0.2205925017
636	0.9386172922	0.2203994572
637	0.9386168201	0.2202037088
638	0.9385098315	0.2200077068
639	0.9389311969	0.2197663889
640	0.9390383806	0.2196561168
641	0.9388274989	0.2195595543
642	0.9389301555	0.2193197642
643	0.9390364629	0.2192468292
644	0.9390364629	0.2191800678
645	0.939139706	0.2189178764
646	0.9393497676	0.218629876
647	0.9394545324	0.218440705
648	0.9394566083	0.2182124091
649	0.9396631873	0.2179681282
650	0.9395613129	0.2178836333
651	0.9395613129	0.2177976957
652	0.9394586738	0.2176267433
653	0.9396632714	0.2174557363
654	0.9396673692	0.217382142
655	0.9394563221	0.2173103176
656	0.9397691838	0.2172267056
657	0.939450924	0.2169594921
658	0.939348971	0.216806701
659	0.939555726	0.2166815004
660	0.9394513162	0.2166029173
661	0.9394513162	0.2164555252
662	0.9397715274	0.2162342143
663	0.9395626698	0.2159355672
664	0.9395626698	0.2158582526
665	0.9395626698	0.2157882693
666	0.9395620045	0.2156161092
667	0.9397692386	0.2155143711
668	0.9401865776	0.2153035663
669	0.9404970236	0.2150038223
670	0.9404952302	0.2147785832
671	0.940597617	0.214543184
672	0.9407067932	0.2144835712
673	0.9408112235	0.2144383039
674	0.9408107323	0.2142871275
675	0.9406033229	0.2140218087
676	0.9406038884	0.2138238131
677	0.9409174458	0.2135888849
678	0.9407081198	0.2133791273
679	0.9407073042	0.2132369707
680	0.9410143063	0.2130303261
681	0.9411259336	0.212790052
682	0.9410167806	0.2125365595
683	0.9410124006	0.2122339548
684	0.9411159146	0.2120769663
685	0.9411132971	0.2119620169
686	0.9413206915	0.2118074952
687	0.9413206915	0.2116732547
688	0.9417398837	0.2114028968
689	0.9417384508	0.2111680177
690	0.9416340496	0.2109734817
691	0.9416357084	0.2109059301
692	0.9416330583	0.2106259699
693	0.9417374596	0.2104453154
694	0.9419493338	0.2102686241
695	0.9419493338	0.2101642159
696	0.9423643236	0.2098116404
697	0.9423613913	0.2096150172
698	0.9423613913	0.2095608539
699	0.9425750319	0.2094396445
700	0.942465286	0.2092299477
701	0.9426731459	0.2090467003
702	0.942779847	0.2089848964
703	0.9427828173	0.2088669019
704	0.9426784075	0.2086507255
705	0.9429889411	0.2085697592
706	0.9430934933	0.2083461846
707	0.9429826965	0.2081730868
708	0.9432984177	0.2080111119
709	0.9430869213	0.2077622927
710	0.9429830877	0.2074823774
711	0.9429836095	0.2073478308
712	0.9430874075	0.2072893475
713	0.943399188	0.2070700253
714	0.943503049	0.2068768273
715	0.9436062773	0.206574593
716	0.9437060199	0.2062991467
717	0.9439158228	0.206046918
718	0.9439182664	0.2057793248
719	0.9438144377	0.2056325517
720	0.9439213611	0.2053918122
721	0.9441312358	0.2052653914
722	0.9445485315	0.2050270029
723	0.9447671735	0.2047737085
724	0.9448711298	0.2046555437
725	0.9449755749	0.2045128579
726	0.9448701367	0.2044537858
727	0.9449743984	0.2043907237
728	0.9447655368	0.2041541916
729	0.9448727052	0.2039678419
730	0.9449728741	0.2038831068
731	0.9449755567	0.2036341659
732	0.9449714269	0.2035093051
733	0.9453937209	0.203281208
734	0.9457035532	0.2031236898
735	0.9460193594	0.2029278712
736	0.9460127741	0.2026710252
737	0.9461191952	0.202606025
738	0.9462233651	0.2024577587
739	0.9462255636	0.202326532
740	0.94622637	0.2021569016
741	0.9462235506	0.202077531
742	0.9464326974	0.2019326409
743	0.9466455348	0.2018298262
744	0.9467469606	0.2016804382
745	0.9467486183	0.2015489092
746	0.9467457419	0.20145338
747	0.9467442146	0.2012777437
748	0.9468492744	0.2012081015
749	0.9468492744	0.2011404011
750	0.9467444502	0.2010332391
751	0.9467485459	0.2008835065
752	0.9467531725	0.2007079642
753	0.946955151	0.2005818302
754	0.9471630157	0.2004928884
755	0.9470588756	0.2003175188
756	0.9470581802	0.2001627504
757	0.946849109	0.1998934437
758	0.946747685	0.1997439163
759	0.9468540518	0.1996580793
760	0.9469549609	0.1994694142
761	0.9471662122	0.1993108105
762	0.9471664735	0.1990647766
763	0.9473735047	0.1989531761
764	0.94747888	0.1987715631
765	0.9476832596	0.1985520438
766	0.9478971008	0.1983586992
767	0.9482037429	0.198150298
768	0.9480989703	0.1980129669
769	0.9484131577	0.1978453437
770	0.9487247113	0.1976635126
771	0.9490383088	0.1975620368
772	0.9492486704	0.197289234
773	0.9494589821	0.197225322
774	0.9493546301	0.197069044
775	0.9492506866	0.1970138964
776	0.9492506866	0.1969676762
777	0.9494587915	0.1968185439
778	0.9494587915	0.1967702046
779	0.949354848	0.196655632
780	0.9499836558	0.1964049307
781	0.9498769245	0.1962705824
782	0.9500855608	0.1961375117
783	0.9502978194	0.1959413312
784	0.9501915331	0.1958108966
785	0.9501934712	0.1957520519
786	0.9501934712	0.1956667199
787	0.9504069729	0.1953538539
788	0.9504069729	0.195284552
789	0.9505101765	0.1951263598
790	0.9506144428	0.1949581458
791	0.9506162511	0.1948372015
792	0.9511380583	0.1945400776
793	0.951341809	0.1944211277
794	0.9515530813	0.1942287622
795	0.9517605115	0.1940301063
796	0.9517620116	0.1939366772
797	0.9520718193	0.1937755825
798	0.9519677456	0.1936207495
799	0.9521762983	0.1935139048
800	0.9519677456	0.1933768623
801	0.9518636661	0.1931452409
802	0.9520721717	0.1929377401
803	0.952175324	0.1928807319
804	0.9521766251	0.1928111151
805	0.9521754596	0.1927467017
806	0.952175324	0.1926555147
807	0.9520721717	0.1924935895
808	0.9519691955	0.1923473045
809	0.9519691955	0.1922950376
810	0.9524907124	0.1919672721
811	0.9524907124	0.1917771262
812	0.9525934354	0.1916251874
813	0.9529014503	0.1912853232
814	0.9529014503	0.1911382127
815	0.953006169	0.1910950014
816	0.9531091785	0.190928753
817	0.9532137613	0.1908747181
818	0.9534248435	0.1908039354
819	0.9533208047	0.1907021372
820	0.9533226962	0.1906451325
821	0.9532181822	0.1905869809
822	0.9535308087	0.1903953815
823	0.9532184158	0.1903318308
824	0.9534252352	0.1901716406
825	0.9532183585	0.1900552494
826	0.9536314442	0.1897518238
827	0.9537376454	0.1895335022
828	0.9536344062	0.1893617196
829	0.9538430183	0.1891937094
830	0.9540536508	0.1891402723
831	0.9538450318	0.1889934666
832	0.9538450318	0.1889501483
833	0.9540550174	0.1887390752
834	0.9542636259	0.188598157
835	0.9541595749	0.1884152964
836	0.9542645507	0.1882251731
837	0.9542645507	0.1881846464
838	0.9543652562	0.188078644
839	0.9544716075	0.1879606383
840	0.95436367	0.1878871317
841	0.9543633553	0.1877349162
842	0.9544668373	0.1875063631
843	0.9545729818	0.1874461466
844	0.9545729818	0.1873880755
845	0.9545729818	0.1873188707
846	0.9545754687	0.1871425672
847	0.9545754687	0.1870013183
848	0.9547838791	0.1868958483
849	0.9549934576	0.1868298518
850	0.9548890876	0.1867362189
851	0.9548887491	0.1866570077
852	0.9549923004	0.186524068
853	0.954677436	0.1863480897
854	0.9547859701	0.1861507437
855	0.9547834145	0.1859981268
856	0.9547858155	0.1858796038
857	0.9549916443	0.1858071723
858	0.9549911675	0.185619956
859	0.9549911675	0.185563409
860	0.9548870774	0.1853998445
861	0.9550959667	0.185251244
862	0.9550959667	0.1852070748
863	0.9554085988	0.1851078838
864	0.9555156399	0.1848797399
865	0.955722447	0.1847576402
866	0.955826971	0.1846986862
867	0.9555137006	0.184555692
868	0.9554083067	0.1844331277
869	0.9557234956	0.1842800659
870	0.9557209336	0.184029555
871	0.9558233941	0.1838895439
872	0.9560271832	0.1837377338
873	0.9561333064	0.1836852328
874	0.9561364429	0.1835083979
875	0.9560320386	0.1833790618
876	0.9559295724	0.1833364194
877	0.9564432467	0.1831545515
878	0.9563448808	0.1830780219
879	0.9562409557	0.1828918031
880	0.956132617	0.182778513
